"scenario","hr_true","futility_threshold","n_sims","reject_rate","p_futility_stop","e_n","e_events","mean_hr_est"
"harmful",1.15,0.1,300,0.01,0.31,114.27,36.8133333333333,1.31838304076653
"harmful",1.15,0.15,300,0.00666666666666667,0.396666666666667,112.63,33.6866666666667,1.32362586710842
"harmful",1.15,0.2,300,0.00666666666666667,0.456666666666667,111.293333333333,31.6133333333333,1.32150372992747
"harmful",1.15,0.3,300,0.00666666666666667,0.57,109.39,27.2766666666667,1.30251882180546
"null",1,0.1,300,0.0166666666666667,0.213333333333333,116.443333333333,37.9966666666667,1.16513719233104
"null",1,0.15,300,0.0133333333333333,0.283333333333333,115.516666666667,35.69,1.17810758149917
"null",1,0.2,300,0.0133333333333333,0.323333333333333,114.596666666667,34.4266666666667,1.17610144843159
"null",1,0.3,300,0.0166666666666667,0.446666666666667,112.763333333333,30.37,1.17216006119657
"mild_effect",0.85,0.1,300,0.0533333333333333,0.113333333333333,118.08,38.7533333333333,0.962089148935849
"mild_effect",0.85,0.15,300,0.05,0.156666666666667,117.59,37.41,0.976022081760235
"mild_effect",0.85,0.2,300,0.0466666666666667,0.196666666666667,116.863333333333,36.2166666666667,0.98106166600985
"mild_effect",0.85,0.3,300,0.05,0.28,115.746666666667,33.6233333333333,0.989440320444611
"moderate_effect",0.75,0.1,300,0.1,0.08,118.9,38.0533333333333,0.84295230760241
"moderate_effect",0.75,0.15,300,0.1,0.12,118.323333333333,36.81,0.856218611401504
"moderate_effect",0.75,0.2,300,0.0966666666666667,0.136666666666667,117.976666666667,36.3566666666667,0.860147295945825
"moderate_effect",0.75,0.3,300,0.1,0.193333333333333,117.193333333333,34.69,0.868200686270728
"strong_effect",0.65,0.1,300,0.226666666666667,0.0233333333333333,119.653333333333,37.7933333333333,0.711424647427959
"strong_effect",0.65,0.15,300,0.223333333333333,0.0466666666666667,119.096666666667,37.1,0.717995239910595
"strong_effect",0.65,0.2,300,0.22,0.07,118.81,36.5333333333333,0.724589803225971
"strong_effect",0.65,0.3,300,0.213333333333333,0.123333333333333,118.336666666667,35,0.733106683196498
"very_strong_effect",0.55,0.1,300,0.4,0.00666666666666667,119.82,35.9866666666667,0.586879521822192
"very_strong_effect",0.55,0.15,300,0.4,0.02,119.553333333333,35.5333333333333,0.593170478458968
"very_strong_effect",0.55,0.2,300,0.4,0.0333333333333333,119.413333333333,35.2333333333333,0.60007495391462
"very_strong_effect",0.55,0.3,300,0.393333333333333,0.0766666666666667,118.896666666667,34.06,0.614170789625185
