"scenario","design","metric_label","hr_true","n_sims","n_reject","reject_rate","reject_ci_lo","reject_ci_hi","p_futility_stop","e_n","e_events","mean_hr_est","median_hr_est","bias_log_hr","mean_alloc_ratio"
"harmful","adaptive","Power",1.15,1000,8,0.008,0.00345997616532931,0.0157020491760747,0.478,110.787,30.404,1.32479342194962,1.24708108198502,0.0855888562365395,0.511356315163454
"null","adaptive","Type I error",1,1000,19,0.019,0.0114770369931009,0.0295124016250978,0.363,113.532,32.805,1.15827443048868,1.105537713923,0.0861640267166847,0.512139587192673
"mild_effect","adaptive","Power",0.85,1000,75,0.075,0.0594461282112632,0.0931084469614991,0.221,116.35,35.332,0.978694957428209,0.904349081101262,0.0735883959136074,0.512686161257841
"moderate_effect","adaptive","Power",0.75,1000,139,0.139,0.118145852764966,0.16200450385549,0.161,117.66,35.507,0.858567793138433,0.78000120406723,0.0617765915406751,0.511834313389199
"strong_effect","adaptive","Power",0.65,1000,238,0.238,0.211908405813771,0.265643680723256,0.106,118.586,35.239,0.737581337679158,0.666362455209962,0.0464712432712447,0.510498391305912
"very_strong_effect","adaptive","Power",0.55,1000,387,0.387,0.356682636454277,0.417984756919105,0.058,119.181,34.611,0.612598069261566,0.556684570489546,0.0265344411841033,0.508534903861878
"harmful","fixed","Power",1.15,1000,10,0.01,0.00480551069104931,0.0183132430551124,NA,120,47.432,1.19759609801226,1.13350001820665,-0.008135029272651,NA
"null","fixed","Type I error",1,1000,21,0.021,0.0130451922903877,0.0319223351804155,NA,120,44.961,1.04362967993965,0.986738990592946,-0.00806811790497746,NA
"mild_effect","fixed","Power",0.85,1000,69,0.069,0.0540793357932563,0.0865151093457116,NA,120,42.286,0.888883319828414,0.839735777229952,-0.00889105508865365,NA
"moderate_effect","fixed","Power",0.75,1000,146,0.146,0.124682038289377,0.169425375453854,NA,120,40.308,0.783009513899483,0.735643871964896,-0.0141408128610102,NA
"strong_effect","fixed","Power",0.65,1000,263,0.263,0.235943524680293,0.291459361439264,NA,120,38.268,0.67746451943636,0.63721820931084,-0.0209825634134961,NA
"very_strong_effect","fixed","Power",0.55,1000,443,0.443,0.411918951876682,0.474417559647423,NA,120,36.165,0.573639236238968,0.537538751341576,-0.0263843592525244,NA
